Filename:  live_data.mca
Description:  
TimeStamp:  05/15/2020 16:44:09

Spectral Data Information
Channel	Data
0	0
1	0
2	13
3	17
4	20
5	13
6	17
7	7
8	19
9	14
10	13
11	28
12	18
13	24
14	19
15	19
16	24
17	15
18	23
19	14
20	28
21	20
22	23
23	21
24	15
25	21
26	20
27	17
28	21
29	20
30	19
31	15
32	10
33	21
34	14
35	14
36	17
37	13
38	14
39	4
40	17
41	11
42	15
43	13
44	7
45	14
46	16
47	14
48	8
49	8
50	12
51	15
52	13
53	14
54	11
55	7
56	6
57	13
58	13
59	9
60	5
61	17
62	10
63	11
64	9
65	7
66	7
67	5
68	6
69	5
70	3
71	11
72	9
73	12
74	5
75	9
76	9
77	7
78	5
79	6
80	4
81	2
82	5
83	7
84	8
85	8
86	6
87	8
88	5
89	3
90	8
91	4
92	9
93	4
94	8
95	7
96	3
97	6
98	6
99	4
100	3
101	8
102	8
103	4
104	4
105	3
106	6
107	4
108	8
109	5
110	5
111	4
112	5
113	3
114	4
115	4
116	8
117	6
118	4
119	7
120	3
121	4
122	3
123	4
124	4
125	5
126	3
127	1
128	3
129	4
130	7
131	6
132	4
133	6
134	2
135	3
136	5
137	4
138	2
139	7
140	2
141	1
142	2
143	7
144	5
145	2
146	2
147	2
148	2
149	3
150	2
151	3
152	3
153	3
154	4
155	2
156	2
157	1
158	1
159	2
160	1
161	1
162	4
163	2
164	1
165	5
166	1
167	1
168	1
169	3
170	3
171	2
172	1
173	4
174	2
175	2
176	1
177	1
178	1
179	4
180	2
181	2
182	3
183	2
184	3
185	3
186	3
187	3
188	4
189	2
190	2
191	1
192	3
193	4
194	0
195	4
196	1
197	4
198	4
199	2
200	2
201	1
202	3
203	2
204	1
205	1
206	3
207	1
208	1
209	3
210	3
211	5
212	0
213	0
214	0
215	0
216	2
217	2
218	1
219	0
220	1
221	2
222	2
223	2
224	1
225	0
226	2
227	6
228	2
229	0
230	3
231	2
232	2
233	2
234	0
235	2
236	2
237	4
238	1
239	1
240	0
241	1
242	4
243	0
244	1
245	2
246	1
247	1
248	4
249	2
250	2
251	1
252	1
253	2
254	2
255	0
